"date","QQQ","SP500","NASDAQ","VIX","MKTRF","SMB","HML","RMW","CMA","RF","MOM","QQQ_log_return"
2023-11-13,375.763305664062,4411.5498046875,13767.740234375,14.7600002288818,-0.05,0.06,-0.28,-0.3,-0.18,0.021,0.21,-0.00312335265037422
2023-11-14,383.852111816406,4495.7001953125,14094.3798828125,14.1599998474121,2.18,3.22,1.18,-0.98,-0.23,0.021,-2.04,0.0212979139746876
2023-11-15,384.141021728516,4502.8798828125,14103.83984375,14.1800003051758,0.18,0.13,0.49,-0.14,0.5,0.021,-1.63,0.000752376325045212
2023-11-16,384.469787597656,4508.240234375,14113.669921875,14.3199996948242,-0.11,-1.5,-0.31,-0.44,-0.37,0.021,0.9,0.000855480784818674
2023-11-17,384.559448242188,4514.02001953125,14125.48046875,13.8000001907349,0.25,1.22,0.62,0.03,0.37,0.021,-0.53,0.000233178768136888
2023-11-20,389.241394042969,4547.3798828125,14284.5302734375,13.4099998474121,0.73,-0.11,-0.28,-0.32,-0.31,0.021,0.56,0.012101312588003
2023-11-21,386.980102539062,4538.18994140625,14199.98046875,13.3500003814697,-0.32,-0.96,-0.61,0.42,-0.03,0.021,0.76,-0.00582642431549907
2023-11-22,388.563995361328,4556.6201171875,14265.8603515625,12.8500003814697,0.42,0.2,-0.05,-0.38,0.01,0.021,-0.24,0.00408460338668082
2023-11-24,388.01611328125,4559.33984375,14250.849609375,12.460000038147,0.11,0.62,0.19,-0.51,0.24,0.021,-0.31,-0.00141101263058818
2023-11-27,387.677398681641,4550.43017578125,14241.01953125,12.6899995803833,-0.23,-0.14,-0.08,0.12,-0.25,0.021,0.78,-0.000873320753399298
2023-11-28,388.693511962891,4554.89013671875,14281.759765625,12.6899995803833,0.06,-0.3,0.05,-0.17,0.02,0.021,-0.61,0.00261759900455871
2023-11-29,388.31494140625,4550.580078125,14258.490234375,12.9799995422363,0.01,0.58,0.69,-0.78,-0.06,0.021,-0.97,-0.000974431063018422
2023-11-30,387.338714599609,4567.7998046875,14226.2197265625,12.9200000762939,0.35,-0.4,0.02,-0.11,0.19,0.021,0.17,-0.00251717326294454
2023-12-01,388.444458007812,4594.6298828125,14305.0302734375,12.6300001144409,0.82,2.23,1.06,-0.37,0.57,0.021,-1.6,0.00285065259479556
2023-12-04,384.838317871094,4569.77978515625,14185.490234375,13.0799999237061,-0.44,1.5,0.5,-0.43,0.77,0.021,-0.71,-0.00932690185533502
2023-12-05,385.804656982422,4567.18017578125,14229.91015625,12.8500003814697,-0.21,-1.06,-0.83,0.19,-0.41,0.021,1.25,0.00250787887345805
2023-12-06,383.573181152344,4549.33984375,14146.7099609375,12.9700002670288,-0.39,0.36,0.31,-0.23,0.26,0.021,-1.38,-0.00580074438499789
